numbers,tripduration,starttime,stoptime,start station name,start station latitude,start station longitude,end station name,end station latitude,end station longitude,usertype,birth year,gender
75,236,2019-01-03 15:58:15.7970,2019-01-03 16:02:12.5150,Exchange Place,40.7162469,-74.0334588,Essex Light Rail,40.712774200000005,-74.03648570000001,Subscriber,1990,1
76,528,2019-01-03 16:28:13.9830,2019-01-03 16:37:02.5760,Exchange Place,40.7162469,-74.0334588,Hamilton Park,40.727595965999996,-74.044247311,Subscriber,1982,1
77,226,2019-01-03 16:57:06.0950,2019-01-03 17:00:52.4290,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1989,2
78,591,2019-01-03 17:01:04.2130,2019-01-03 17:10:55.7930,Exchange Place,40.7162469,-74.0334588,Jersey & 6th St,40.72528910781132,-74.04557168483734,Subscriber,1987,2
79,263,2019-01-03 17:06:39.0240,2019-01-03 17:11:02.3630,Exchange Place,40.7162469,-74.0334588,City Hall,40.717732500000004,-74.04384499999999,Subscriber,1981,1
80,718,2019-01-03 17:13:00.6040,2019-01-03 17:24:58.8580,Exchange Place,40.7162469,-74.0334588,Liberty Light Rail,40.711242299999995,-74.0557013,Subscriber,1985,1
81,622,2019-01-03 17:16:34.9410,2019-01-03 17:26:57.8320,Exchange Place,40.7162469,-74.0334588,Newport Pkwy,40.728744799999994,-74.03210820000001,Subscriber,1996,2
82,270,2019-01-03 17:35:15.3650,2019-01-03 17:39:45.4030,Exchange Place,40.7162469,-74.0334588,Van Vorst Park,40.71848892,-74.047726625,Subscriber,1962,1
83,471,2019-01-03 17:35:36.2210,2019-01-03 17:43:28.0780,Exchange Place,40.7162469,-74.0334588,Newport Pkwy,40.728744799999994,-74.03210820000001,Subscriber,1990,1
84,303,2019-01-03 17:36:36.2240,2019-01-03 17:41:39.9250,Exchange Place,40.7162469,-74.0334588,Manila & 1st,40.72165072487999,-74.04288411140442,Subscriber,1980,1
85,238,2019-01-03 17:48:32.2850,2019-01-03 17:52:30.9330,Exchange Place,40.7162469,-74.0334588,Marin Light Rail,40.71458403535893,-74.04281705617905,Subscriber,1982,1
86,320,2019-01-03 17:51:59.7170,2019-01-03 17:57:20.4640,Exchange Place,40.7162469,-74.0334588,Warren St,40.721123600000006,-74.03805095,Subscriber,1979,1
87,133,2019-01-03 17:57:47.8640,2019-01-03 18:00:01.8530,Exchange Place,40.7162469,-74.0334588,Harborside,40.71925170000001,-74.034234,Subscriber,1969,0
88,745,2019-01-03 18:16:09.8390,2019-01-03 18:28:35.5100,Exchange Place,40.7162469,-74.0334588,Liberty Light Rail,40.711242299999995,-74.0557013,Subscriber,1990,1
89,290,2019-01-03 18:16:46.2690,2019-01-03 18:21:36.5530,Exchange Place,40.7162469,-74.0334588,Marin Light Rail,40.71458403535893,-74.04281705617905,Subscriber,1978,1
90,193,2019-01-03 18:18:18.0310,2019-01-03 18:21:31.2350,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1994,2
91,177,2019-01-03 18:21:29.6000,2019-01-03 18:24:27.4740,Exchange Place,40.7162469,-74.0334588,Grand St,40.71517767732029,-74.03768330812454,Subscriber,1988,2
92,489,2019-01-03 18:24:17.5680,2019-01-03 18:32:26.6150,Exchange Place,40.7162469,-74.0334588,Washington St,40.7242941,-74.0354826,Customer,1988,1
93,302,2019-01-03 18:28:34.4340,2019-01-03 18:33:36.5980,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1985,1
94,667,2019-01-03 18:31:22.7410,2019-01-03 18:42:29.8600,Exchange Place,40.7162469,-74.0334588,Brunswick & 6th,40.726011729646245,-74.0503889322281,Subscriber,1958,1
95,1132,2019-01-03 18:36:32.4940,2019-01-03 18:55:24.9200,Exchange Place,40.7162469,-74.0334588,Baldwin at Montgomery,40.7236589,-74.0641943,Subscriber,1980,1
96,227,2019-01-03 18:43:28.6470,2019-01-03 18:47:16.3870,Exchange Place,40.7162469,-74.0334588,Marin Light Rail,40.71458403535893,-74.04281705617905,Subscriber,1986,1
97,477,2019-01-03 18:45:27.8270,2019-01-03 18:53:25.4790,Exchange Place,40.7162469,-74.0334588,Essex Light Rail,40.712774200000005,-74.03648570000001,Subscriber,1994,1
98,205,2019-01-03 18:47:41.3820,2019-01-03 18:51:06.4770,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1972,1
99,238,2019-01-03 18:49:20.8460,2019-01-03 18:53:18.8780,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1955,1
100,396,2019-01-03 18:52:00.8050,2019-01-03 18:58:37.0370,Exchange Place,40.7162469,-74.0334588,Essex Light Rail,40.712774200000005,-74.03648570000001,Subscriber,1993,1
101,218,2019-01-03 19:01:12.1830,2019-01-03 19:04:50.2880,Exchange Place,40.7162469,-74.0334588,Warren St,40.721123600000006,-74.03805095,Subscriber,1972,1
102,265,2019-01-03 19:03:40.8280,2019-01-03 19:08:06.1330,Exchange Place,40.7162469,-74.0334588,Washington St,40.7242941,-74.0354826,Subscriber,1977,1
103,199,2019-01-03 19:05:41.7930,2019-01-03 19:09:01.7060,Exchange Place,40.7162469,-74.0334588,Essex Light Rail,40.712774200000005,-74.03648570000001,Subscriber,1987,1
104,274,2019-01-03 19:19:52.4500,2019-01-03 19:24:27.0970,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1977,1
105,270,2019-01-03 20:09:59.0650,2019-01-03 20:14:29.9980,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1990,1
106,175,2019-01-03 20:10:02.9520,2019-01-03 20:12:58.6590,Exchange Place,40.7162469,-74.0334588,Grand St,40.71517767732029,-74.03768330812454,Subscriber,1971,1
107,463,2019-01-03 20:36:50.4530,2019-01-03 20:44:33.6260,Exchange Place,40.7162469,-74.0334588,Jersey & 3rd,40.723331586464354,-74.04595255851744,Subscriber,1985,1
108,452,2019-01-03 20:46:29.3810,2019-01-03 20:54:01.6100,Exchange Place,40.7162469,-74.0334588,Warren St,40.721123600000006,-74.03805095,Subscriber,1958,1
109,237,2019-01-03 20:47:01.2070,2019-01-03 20:50:58.5680,Exchange Place,40.7162469,-74.0334588,Grand St,40.71517767732029,-74.03768330812454,Subscriber,1986,1
110,124,2019-01-03 22:34:44.1380,2019-01-03 22:36:48.3800,Exchange Place,40.7162469,-74.0334588,Columbus Drive,40.71835519823214,-74.03891444206238,Subscriber,1994,1
111,252,2019-01-03 23:04:45.3890,2019-01-03 23:08:57.6420,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1993,1
112,247,2019-01-04 09:05:32.7590,2019-01-04 09:09:40.6790,Exchange Place,40.7162469,-74.0334588,Essex Light Rail,40.712774200000005,-74.03648570000001,Subscriber,1990,1
113,13030,2019-01-04 12:51:42.5750,2019-01-04 16:28:52.6280,Exchange Place,40.7162469,-74.0334588,Exchange Place,40.7162469,-74.0334588,Subscriber,1969,0
114,588,2019-01-04 12:51:55.7540,2019-01-04 13:01:44.5670,Exchange Place,40.7162469,-74.0334588,Exchange Place,40.7162469,-74.0334588,Subscriber,1969,0
115,273,2019-01-04 13:13:21.4700,2019-01-04 13:17:55.3910,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1969,1
116,379,2019-01-04 14:13:07.6380,2019-01-04 14:19:27.4440,Exchange Place,40.7162469,-74.0334588,Van Vorst Park,40.71848892,-74.047726625,Subscriber,1967,2
117,288,2019-01-04 16:35:09.9650,2019-01-04 16:39:58.7260,Exchange Place,40.7162469,-74.0334588,Newport PATH,40.7272235,-74.03375890000001,Subscriber,1941,2
118,334,2019-01-04 17:01:09.6660,2019-01-04 17:06:44.5960,Exchange Place,40.7162469,-74.0334588,Warren St,40.721123600000006,-74.03805095,Subscriber,1965,2
119,618,2019-01-04 17:14:42.4260,2019-01-04 17:25:00.4270,Exchange Place,40.7162469,-74.0334588,Grove St PATH,40.71958611647166,-74.0431174635887,Subscriber,1983,1
120,358,2019-01-04 17:17:50.7080,2019-01-04 17:23:49.1350,Exchange Place,40.7162469,-74.0334588,Manila & 1st,40.72165072487999,-74.04288411140442,Subscriber,1980,1
121,373,2019-01-04 17:21:15.4580,2019-01-04 17:27:28.8490,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1976,2
122,169,2019-01-04 17:21:26.6920,2019-01-04 17:24:16.2750,Exchange Place,40.7162469,-74.0334588,Essex Light Rail,40.712774200000005,-74.03648570000001,Subscriber,1960,1
123,462,2019-01-04 17:37:10.8640,2019-01-04 17:44:53.3140,Exchange Place,40.7162469,-74.0334588,Newport Pkwy,40.728744799999994,-74.03210820000001,Subscriber,1990,1
124,240,2019-01-04 17:48:12.4910,2019-01-04 17:52:13.0220,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1955,1
125,429,2019-01-04 17:59:36.2890,2019-01-04 18:06:45.3620,Exchange Place,40.7162469,-74.0334588,Newport PATH,40.7272235,-74.03375890000001,Subscriber,1992,1
126,118,2019-01-04 18:15:43.2350,2019-01-04 18:17:42.2240,Exchange Place,40.7162469,-74.0334588,Harborside,40.71925170000001,-74.034234,Subscriber,1969,0
127,545,2019-01-04 18:34:59.9050,2019-01-04 18:44:05.0040,Exchange Place,40.7162469,-74.0334588,Monmouth and 6th,40.72568548362901,-74.0487903356552,Subscriber,1985,1
128,392,2019-01-04 18:27:47.3710,2019-01-04 18:34:20.0710,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1985,1
129,279,2019-01-04 18:43:53.0130,2019-01-04 18:48:32.1690,Exchange Place,40.7162469,-74.0334588,Grand St,40.71517767732029,-74.03768330812454,Subscriber,1982,1
130,292,2019-01-04 18:48:59.4420,2019-01-04 18:53:52.3320,Exchange Place,40.7162469,-74.0334588,Warren St,40.721123600000006,-74.03805095,Subscriber,1979,1
131,819,2019-01-04 18:57:46.1970,2019-01-04 19:11:25.3050,Exchange Place,40.7162469,-74.0334588,Liberty Light Rail,40.711242299999995,-74.0557013,Subscriber,1980,1
132,220,2019-01-04 19:19:41.2600,2019-01-04 19:23:21.3610,Exchange Place,40.7162469,-74.0334588,Warren St,40.721123600000006,-74.03805095,Subscriber,1972,1
133,317,2019-01-04 19:29:57.7540,2019-01-04 19:35:15.4470,Exchange Place,40.7162469,-74.0334588,York St,40.71649,-74.04105,Subscriber,1968,2
134,213,2019-01-04 19:57:22.0460,2019-01-04 20:00:55.7390,Exchange Place,40.7162469,-74.0334588,Grand St,40.71517767732029,-74.03768330812454,Subscriber,1983,1
135,205,2019-01-04 20:13:17.7640,2019-01-04 20:16:43.1140,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1972,1
136,232,2019-01-04 21:59:19.1630,2019-01-04 22:03:12.0110,Exchange Place,40.7162469,-74.0334588,Warren St,40.721123600000006,-74.03805095,Subscriber,1978,1
137,510,2019-01-04 23:09:06.3670,2019-01-04 23:17:36.4550,Exchange Place,40.7162469,-74.0334588,Newport PATH,40.7272235,-74.03375890000001,Subscriber,1996,2
138,286,2019-01-05 17:56:40.1220,2019-01-05 18:01:26.6760,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1981,0
139,1430,2019-01-05 21:14:16.7680,2019-01-05 21:38:07.6060,Exchange Place,40.7162469,-74.0334588,Newport PATH,40.7272235,-74.03375890000001,Customer,1992,1
140,503,2019-01-05 21:24:50.8060,2019-01-05 21:33:14.5190,Exchange Place,40.7162469,-74.0334588,Brunswick St,40.7241765,-74.05065640000001,Subscriber,1984,1
141,687,2019-01-06 09:24:08.4180,2019-01-06 09:35:36.1900,Exchange Place,40.7162469,-74.0334588,Montgomery St,40.71942,-74.05099,Subscriber,1981,1
142,501,2019-01-06 11:00:12.5040,2019-01-06 11:08:33.7110,Exchange Place,40.7162469,-74.0334588,JC Medical Center,40.71653978099194,-74.0496379137039,Subscriber,1980,1
143,457,2019-01-06 13:29:31.0120,2019-01-06 13:37:08.7810,Exchange Place,40.7162469,-74.0334588,Newport Pkwy,40.728744799999994,-74.03210820000001,Subscriber,1983,2
144,1170,2019-01-06 13:29:55.0990,2019-01-06 13:49:25.4450,Exchange Place,40.7162469,-74.0334588,Grand St,40.71517767732029,-74.03768330812454,Subscriber,1961,1
145,452,2019-01-06 13:30:08.9040,2019-01-06 13:37:41.0490,Exchange Place,40.7162469,-74.0334588,Newport PATH,40.7272235,-74.03375890000001,Subscriber,1989,1
146,1236,2019-01-06 14:07:32.8060,2019-01-06 14:28:09.1770,Exchange Place,40.7162469,-74.0334588,Christ Hospital,40.734785818,-74.050443636,Subscriber,1963,1
147,215,2019-01-06 14:55:12.6640,2019-01-06 14:58:48.1780,Exchange Place,40.7162469,-74.0334588,Essex Light Rail,40.712774200000005,-74.03648570000001,Subscriber,1993,1
148,303,2019-01-06 16:55:48.2480,2019-01-06 17:00:52.1260,Exchange Place,40.7162469,-74.0334588,City Hall,40.717732500000004,-74.04384499999999,Customer,1990,2
149,624,2019-01-06 16:58:24.6310,2019-01-06 17:08:48.9750,Exchange Place,40.7162469,-74.0334588,Newport Pkwy,40.728744799999994,-74.03210820000001,Subscriber,1982,1
150,611,2019-01-06 16:58:31.3230,2019-01-06 17:08:43.1210,Exchange Place,40.7162469,-74.0334588,Newport Pkwy,40.728744799999994,-74.03210820000001,Subscriber,1981,2
151,399,2019-01-06 17:11:10.1900,2019-01-06 17:17:49.3380,Exchange Place,40.7162469,-74.0334588,Newport PATH,40.7272235,-74.03375890000001,Subscriber,1986,1
152,218,2019-01-06 20:14:03.8670,2019-01-06 20:17:42.4900,Exchange Place,40.7162469,-74.0334588,Grove St PATH,40.71958611647166,-74.0431174635887,Subscriber,1984,1
